product_id,product_name,brand_name,current_price,max_price,percent_off,variants,offers,category_name
pimprod2018765,Tomatoes Detoxifying Charcoal Daily Blemish Toner,Yes to,3.74,14.99,0.75,,Free Gift,Toner
pimprod2019172,Curl Shaper Double Duty Weightless Cleansing Conditioner,Ouidad,12.0,18.0,0.33,3.2 oz,,Hair
pimprod2019172,Curl Shaper Double Duty Weightless Cleansing Conditioner,Ouidad,12.0,18.0,0.33,3.2 oz,,Shampoo & Conditioner
pimprod2019172,Curl Shaper Double Duty Weightless Cleansing Conditioner,Ouidad,12.0,18.0,0.33,3.2 oz,,Co-Wash
pimprod2019330,Conceal & Glow Foundation,Makeup Revolution,5.99,12.0,0.5,"F18 (dark skin tones w/ warm undertone), F14.2 (dark skin tones w/ olive undertone)",Only at Ulta,Makeup
pimprod2019330,Conceal & Glow Foundation,Makeup Revolution,5.99,12.0,0.5,"F18 (dark skin tones w/ warm undertone), F14.2 (dark skin tones w/ olive undertone)",Only at Ulta,Face
pimprod2019330,Conceal & Glow Foundation,Makeup Revolution,5.99,12.0,0.5,"F18 (dark skin tones w/ warm undertone), F14.2 (dark skin tones w/ olive undertone)",Only at Ulta,Foundation
pimprod2019395,Liner And Lash Set,Velour Lashes,7.0,19.6,0.64,,,Gifts
pimprod2019395,Liner And Lash Set,Velour Lashes,7.0,19.6,0.64,,,By Category
pimprod2019395,Liner And Lash Set,Velour Lashes,7.0,19.6,0.64,,,Makeup Gifts
pimprod2019478,Colorblock Wristlet Strap,Tartan + Twine,2.0,8.0,0.75,"Digital Print, Black, Screen Print",,Makeup
pimprod2019478,Colorblock Wristlet Strap,Tartan + Twine,2.0,8.0,0.75,"Digital Print, Black, Screen Print",,Makeup Bags & Organizers
pimprod2019505,Colorblock Medium Pouch,Tartan + Twine,3.5,14.0,0.75,"Black, Zebra, Leopard, Saffiano",,Makeup
pimprod2019505,Colorblock Medium Pouch,Tartan + Twine,3.5,14.0,0.75,"Black, Zebra, Leopard, Saffiano",,Makeup Bags & Organizers
pimprod2019507,Colorblock Small Round Pouch,Tartan + Twine,4.0,16.0,0.75,"Black, Burgundy, Green, Navy",,Makeup
pimprod2019507,Colorblock Small Round Pouch,Tartan + Twine,4.0,16.0,0.75,"Black, Burgundy, Green, Navy",,Makeup Bags & Organizers
pimprod2020148,Bye Bye Brass Trial Kit,Shimmer Lights,3.99,7.99,0.5,,Free Gift,Gifts
pimprod2020148,Bye Bye Brass Trial Kit,Shimmer Lights,3.99,7.99,0.5,,Free Gift,By Category
pimprod2020148,Bye Bye Brass Trial Kit,Shimmer Lights,3.99,7.99,0.5,,Free Gift,Hair Gifts
pimprod2020633,Hydrating Self Tan Water Mousse,Australian Glow,12.49,24.99,0.5,Dark (darker natural glow),,Skin Care
pimprod2020633,Hydrating Self Tan Water Mousse,Australian Glow,12.49,24.99,0.5,Dark (darker natural glow),,Suncare
pimprod2020633,Hydrating Self Tan Water Mousse,Australian Glow,12.49,24.99,0.5,Dark (darker natural glow),,Self-Tanning & Bronzing
pimprod2020634,Hydrating Self Tan Water Mist,Australian Glow,12.49,24.99,0.5,,,Skin Care
pimprod2020634,Hydrating Self Tan Water Mist,Australian Glow,12.49,24.99,0.5,,,Suncare
pimprod2020634,Hydrating Self Tan Water Mist,Australian Glow,12.49,24.99,0.5,,,Self-Tanning & Bronzing
pimprod2020743,White Pine Meno-Reverse Volumizing Serum-in-Moisturizer,KORRES,45.0,58.0,0.22,,Free Gift,Skin Care
pimprod2020743,White Pine Meno-Reverse Volumizing Serum-in-Moisturizer,KORRES,45.0,58.0,0.22,,Free Gift,Treatment & Serums
pimprod2020743,White Pine Meno-Reverse Volumizing Serum-in-Moisturizer,KORRES,45.0,58.0,0.22,,Free Gift,Face Serums
pimprod2020745,White Pine Meno-Reverse Restorative Overnight Facial,KORRES,54.0,68.0,0.21,,Free Gift,Skin Care
pimprod2020745,White Pine Meno-Reverse Restorative Overnight Facial,KORRES,54.0,68.0,0.21,,Free Gift,Moisturizers
pimprod2020745,White Pine Meno-Reverse Restorative Overnight Facial,KORRES,54.0,68.0,0.21,,Free Gift,Night Cream
pimprod2020790,Cactus Hydrating Serum Boost,Fourth Ray Beauty,6.99,14.0,0.5,,Free Gift,Skin Care
pimprod2020790,Cactus Hydrating Serum Boost,Fourth Ray Beauty,6.99,14.0,0.5,,Free Gift,Treatment & Serums
pimprod2020790,Cactus Hydrating Serum Boost,Fourth Ray Beauty,6.99,14.0,0.5,,Free Gift,Face Serums
pimprod2021243,All Bright Glow Mask,Botanics,6.99,13.99,0.5,,Free Gift,Skin Care
pimprod2021243,All Bright Glow Mask,Botanics,6.99,13.99,0.5,,Free Gift,Treatment & Serums
pimprod2021243,All Bright Glow Mask,Botanics,6.99,13.99,0.5,,Free Gift,Face Masks
pimprod2021245,Revive & Protect Postbiotic Cleanser,Botanics,5.49,10.99,0.5,,Free Gift,Skin Care
pimprod2021245,Revive & Protect Postbiotic Cleanser,Botanics,5.49,10.99,0.5,,Free Gift,Cleansers
pimprod2021245,Revive & Protect Postbiotic Cleanser,Botanics,5.49,10.99,0.5,,Free Gift,Face Wash
pimprod2021331,All-Day Intense Gel Eyeliner,Almay,4.25,8.49,0.5,"100 All-day Grey, 120 Nocturnal Navy",,Makeup
pimprod2021331,All-Day Intense Gel Eyeliner,Almay,4.25,8.49,0.5,"100 All-day Grey, 120 Nocturnal Navy",,Eyes
pimprod2021331,All-Day Intense Gel Eyeliner,Almay,4.25,8.49,0.5,"100 All-day Grey, 120 Nocturnal Navy",,Eyeliner
pimprod2021336,Skin Perfecting Healthy Biome Makeup,Almay,7.0,13.99,0.5,"100 Fair, 120 Beige, 110 Light, 140 Golden, 130 Medium, 150 Tan",,Makeup
