,main_category,sub_category,sub_sub_category,name,brand,product,price,options,offers,rating,number_of_reviews,url
28,makeup,eyes,eyeshadow,Lancôme Ombre Hypnôse Stylo Shadow Stick Matte Metallics,Lancôme,Ombre Hypnôse Stylo Shadow Stick Matte Metallics,17.97,11 Colors, ,4.50,97,https://www.ulta.com/ombre-hypnose-stylo-shadow-stick-matte-metallics?productId=xlsImpprod16801836
29,makeup,eyes, ,LashFood BrowFood Aqua Brow Powder + Pencil Duo,LashFood,BrowFood Aqua Brow Powder + Pencil Duo,17.97, , ,4.20,630,https://www.ulta.com/browfood-aqua-brow-powder-pencil-duo?productId=xlsImpprod16041867
30,makeup,eyes, ,"LashFood BrowFood, Brow Transformation System",LashFood,"BrowFood, Brow Transformation System",68.97, , ,0.00, ,https://www.ulta.com/browfood-brow-transformation-system?productId=xlsImpprod16311035
31,makeup,lips, ,Lipstick Queen Exact Match Lip Liner,Lipstick Queen,Exact Match Lip Liner,12.97, , ,4.50,86,https://www.ulta.com/exact-match-lip-liner?productId=xlsImpprod5120079
32,makeup,lips,lipstick,Lipstick Queen Lipstick Chess,Lipstick Queen,Lipstick Chess,16.97,2 Colors, ,4.50,60,https://www.ulta.com/lipstick-chess?productId=xlsImpprod15481145
33,makeup,lips,lipstick,Lipstick Queen Sinner - Opaque Lipstick,Lipstick Queen,Sinner - Opaque Lipstick,16.97,11 Colors, ,4.40,306,https://www.ulta.com/sinner-opaque-lipstick?productId=xlsImpprod5120071
34,makeup,lips, ,Lottie London #HOLO Duo Chrome Lip Gloss,Lottie London,#HOLO Duo Chrome Lip Gloss,3.97,2 Colors, ,4.60,33,https://www.ulta.com/holo-duo-chrome-lip-gloss?productId=xlsImpprod16971043
35,makeup,eyes, ,Lottie London Arch Rival Brow Artist Retractable Eyebrow Pencil,Lottie London,Arch Rival Brow Artist Retractable Eyebrow Pencil,3.97,2 Colors, ,3.70,6,https://www.ulta.com/arch-rival-brow-artist-retractable-eyebrow-pencil?productId=xlsImpprod16241258
36,makeup,lips, ,Lottie London Lip Foil Iridescent Duo Chrome Lip Topper,Lottie London,Lip Foil Iridescent Duo Chrome Lip Topper,3.97,2 Colors, ,4.20,6,https://www.ulta.com/lip-foil-iridescent-duo-chrome-lip-topper?productId=xlsImpprod18481005
37,makeup,lips,lipstick,Lottie London Slay All Day Longwear Matte Liquid Lipstick,Lottie London,Slay All Day Longwear Matte Liquid Lipstick,3.97,3 Colors, ,4.10,72,https://www.ulta.com/slay-all-day-longwear-matte-liquid-lipstick?productId=xlsImpprod16241330
38,makeup,lips,lipstick,Lottie London Slay All Day Longwear Metallic Liquid Lipstick,Lottie London,Slay All Day Longwear Metallic Liquid Lipstick,3.97,2 Colors, ,5.00,1,https://www.ulta.com/slay-all-day-longwear-metallic-liquid-lipstick?productId=xlsImpprod16971047
39,makeup,face,foundation,NARS All Day Luminous Weightless Foundation,NARS,All Day Luminous Weightless Foundation,34.97, , ,4.00,416,https://www.ulta.com/all-day-luminous-weightless-foundation?productId=xlsImpprod15251331
40,makeup,lips, ,NARS Lip Gloss,NARS,Lip Gloss,18.97,12 Colors, ,4.30,166,https://www.ulta.com/lip-gloss?productId=xlsImpprod15801075
41,makeup,lips, ,NARS Multi-Use Gloss,NARS,Multi-Use Gloss,18.97, , ,5.00,4,https://www.ulta.com/multi-use-gloss?productId=pimprod2003643
