ratings_and_offers_id,product_id,url,price,options,price_str,mult_sizes
38,xlsImpprod6380153,https://www.ulta.com/bb-cream?productId=xlsImpprod6380153,$13.00,3 Colors,$13.00,False
39,xlsImpprod4480171,https://www.ulta.com/studio-secrets-magic-skin-beautifier-bb-cream?productId=xlsImpprod4480171,$11.99,4 Colors,$11.99,False
40,pimprod2006600,https://www.ulta.com/bb-cream-spf15?productId=pimprod2006600,$29.95,2 Colors,$29.95,False
41,pimprod2005688,https://www.ulta.com/cc-creme?productId=pimprod2005688,$44.00,3 Colors,$44.00,False
42,xlsImpprod4960053,https://www.ulta.com/skinactive-miracle-skin-perfector-bb-cream-oilycombo-skin?productId=xlsImpprod4960053,$14.99,,$14.99,False
43,pimprod2002972,https://www.ulta.com/skin-tone-correcting-beautifying-bb-cream-spf-50?productId=pimprod2002972,$42.00,3 Colors,$42.00,False
44,xlsImpprod13871063,https://www.ulta.com/alight-multi-mineral-bb-cream?productId=xlsImpprod13871063,$16.00,3 Colors,$16.00,False
45,xlsImpprod5540023,https://www.ulta.com/skinactive-miracle-skin-perfector-bb-cream-anti-aging?productId=xlsImpprod5540023,$14.99,,$14.99,False
46,pimprod2016791,https://www.ulta.com/clean-id-hydro-bb-cream?productId=pimprod2016791,$10.00,6 Colors,$10.00,False
47,xlsImpprod14271013,https://www.ulta.com/bb-cream-with-spf-15?productId=xlsImpprod14271013,$14.99,2 Colors,$14.99,False
48,xlsImpprod10821034,https://www.ulta.com/magic-skin-beautifier-bb-cream-anti-redness?productId=xlsImpprod10821034,$11.99,,$11.99,False
49,pimprod2005693,https://www.ulta.com/bb-creme?productId=pimprod2005693,$39.00,3 Colors,$39.00,False
50,pimprod2005691,https://www.ulta.com/cc-red-correct?productId=pimprod2005691,$44.00,,$44.00,False
51,xlsImpprod5780154,https://www.ulta.com/dd-cream-dermatologically-defining-bb-cream-broad-spectrum-spf-30?productId=xlsImpprod5780154,$40.00,,$40.00,False
52,xlsImpprod12101007,https://www.ulta.com/skin-caring-bb-fluid-with-sunscreen-broad-spectrum-spf-50-pa?productId=xlsImpprod12101007,$42.00,,$42.00,False
53,pimprod2017406,https://www.ulta.com/bb-crayon-concealer-touch-up-stick?productId=pimprod2017406,$26.00,4 Colors,$26.00,False
54,pimprod2006566,https://www.ulta.com/tinted-moisturizing-bb-cream-with-spf-30?productId=pimprod2006566,$9.97,2 Colors,$9.97,False
55,pimprod2015577,https://www.ulta.com/travel-size-cc-creme?productId=pimprod2015577,$22.00 - $24.00,2 Colors,$22.00 - $24.00,False
