url_pkey,url,main_category,sub_category,sub_sub_category
140,https://www.ulta.com/hair-color?N=26xs&No=0&Nrpp=500,hair,hair color, 
141,https://www.ulta.com/hair-color-root-touch-up?N=3awspq&No=0&Nrpp=500,hair,hair color,root touch up
142,https://www.ulta.com/natural-hair-color?N=vp2ja9&No=0&Nrpp=500,hair,hair color,natural hair color
143,https://www.ulta.com/hair-color-hair-makeup?N=1yd56x1&No=0&Nrpp=500,hair,hair color,hair makeup
144,https://www.ulta.com/hair-color-color-care?N=156p8kx&No=0&Nrpp=500,hair,hair color,color care
145,https://www.ulta.com/tools-brushes-hair-styling-tools?N=27gc&No=0&Nrpp=500,tools & brushes,hair styling tools, 
146,https://www.ulta.com/tools-brushes-hair-styling-tools-flat-irons?N=27ge&No=0&Nrpp=500,tools & brushes,hair styling tools,flat irons
147,https://www.ulta.com/tools-brushes-hair-styling-tools-hair-dryers?N=27gd&No=0&Nrpp=500,tools & brushes,hair styling tools,hair dryers
148,https://www.ulta.com/tools-brushes-hair-styling-tools-curling-irons-stylers?N=27gf&No=0&Nrpp=500,tools & brushes,hair styling tools,curling irons & stylers
149,https://www.ulta.com/hair-styling-tools-hot-brushes?N=18tl1d4&No=0&Nrpp=500,tools & brushes,hair styling tools,hot brushes
150,https://www.ulta.com/tools-brushes-hair-styling-tools-hair-rollers?N=27gh&No=0&Nrpp=500,tools & brushes,hair styling tools,hair rollers
151,https://www.ulta.com/tools-brushes-hair-brushes-combs?N=27gj&No=0&Nrpp=500,tools & brushes,hair brushes & combs, 
152,https://www.ulta.com/tools-brushes-accessories?N=27gk&No=0&Nrpp=500,tools & brushes,accessories, 
153,https://www.ulta.com/tools-brushes-accessories-hair-extensions?N=27gl&No=0&Nrpp=500,tools & brushes,accessories,hair extensions
154,https://www.ulta.com/tools-brushes-accessories-elastics?N=27gm&No=0&Nrpp=500,tools & brushes,accessories,elastics
155,https://www.ulta.com/tools-brushes-accessories-headbands?N=27gn&No=0&Nrpp=500,tools & brushes,accessories,headbands
156,https://www.ulta.com/tools-brushes-accessories-clips-bobby-pins?N=27go&No=0&Nrpp=500,tools & brushes,accessories,clips & bobby pins
157,https://www.ulta.com/tools-brushes-beauty-accessories?N=27gp&No=0&Nrpp=500,tools & brushes,accessories,beauty accessories
158,https://www.ulta.com/hair-kids-haircare?N=26xz&No=0&Nrpp=500,hair,kid's haircare, 
159,https://www.ulta.com/hair-travel-size?N=27ci&No=0&Nrpp=500,hair,travel size, 
160,https://www.ulta.com/hair-gifts-value-sets?N=277l&No=0&Nrpp=500,hair,gifts & value sets, 
161,https://www.ulta.com/tools-brushes-skincare-tools?N=27g5&No=0&Nrpp=500,tools & brushes,skincare tools, 
162,https://www.ulta.com/tools-brushes-hair-removal-tools?N=27g9&No=0&Nrpp=500,tools & brushes,hair removal tools, 
163,https://www.ulta.com/tools-brushes-travel-size?N=447sb8&No=0&Nrpp=500,tools & brushes,travel size, 
164,https://www.ulta.com/tools-brushes-gifts-value-sets?N=27gr&No=0&Nrpp=500,tools & brushes,gifts & value sets, 
165,https://www.ulta.com/womens-fragrance?N=26wn&No=0&Nrpp=500,fragrance,women's fragrance, 
166,https://www.ulta.com/womens-fragrance?N=26wn&No=500&Nrpp=500,fragrance,women's fragrance, 
167,https://www.ulta.com/womens-fragrance-perfume?N=26wq&No=0&Nrpp=500,fragrance,women's fragrance,perfume
168,https://www.ulta.com/womens-fragrance-rollerballs-purse-sprays?N=26wo&No=0&Nrpp=500,fragrance,women's fragrance,rollerballs & purse sprays
169,https://www.ulta.com/womens-fragrance-body-lotions?N=26ws&No=0&Nrpp=500,fragrance,women's fragrance,body lotions
170,https://www.ulta.com/womens-fragrance-body-mist-hair-mist?N=26wr&No=0&Nrpp=500,fragrance,women's fragrance,body mist & hair mist
171,https://www.ulta.com/womens-fragrance-bath-shower?N=27im&No=0&Nrpp=500,fragrance,women's fragrance,bath & shower
172,https://www.ulta.com/mens-fragrance?N=26wf&No=0&Nrpp=500,fragrance,men's fragrance, 
173,https://www.ulta.com/mens-fragrance-cologne?N=26wg&No=0&Nrpp=500,fragrance,men's fragrance,cologne
174,https://www.ulta.com/mens-fragrance-aftershave?N=26wi&No=0&Nrpp=500,fragrance,men's fragrance,aftershave
175,https://www.ulta.com/mens-fragrance-bath-shower?N=27in&No=0&Nrpp=500,fragrance,men's fragrance,bath & shower
176,https://www.ulta.com/fragrance-gift-sets?N=26wc&No=0&Nrpp=500,fragrance,fragrance gift sets, 
177,https://www.ulta.com/fragrance-gift-sets-perfume-gift-sets?N=27io&No=0&Nrpp=500,fragrance,fragrance gift sets,perfume gift sets
178,https://www.ulta.com/fragrance-gift-sets-cologne-gift-sets?N=27ip&No=0&Nrpp=500,fragrance,fragrance gift sets,cologne gift sets
179,https://www.ulta.com/candles-home-fragrance?N=26wb&No=0&Nrpp=500,fragrance,candles & home fragrance, 
180,https://www.ulta.com/bath-body-bath-shower?N=26uy&No=0&Nrpp=500,bath & body,bath & shower, 
181,https://www.ulta.com/bath-body-bath-shower?N=26uy&No=500&Nrpp=500,bath & body,bath & shower, 
182,https://www.ulta.com/bath-body-bath-shower-shower-gel-body-wash?N=26uz&No=0&Nrpp=500,bath & body,bath & shower,shower gel & body wash
183,https://www.ulta.com/bath-body-bath-shower-body-scrubs-exfoliants?N=2765&No=0&Nrpp=500,bath & body,bath & shower,body scrubs & exfoliants
184,https://www.ulta.com/bath-body-bath-shower-bubble-bath-soaks?N=26v0&No=0&Nrpp=500,bath & body,bath & shower,bubble bath & soaks
185,https://www.ulta.com/bath-body-bath-shower-bath-bombs?N=26v2&No=0&Nrpp=500,bath & body,bath & shower,bath bombs
186,https://www.ulta.com/bath-body-bath-shower-hand-soap-wash?N=26v1&No=0&Nrpp=500,bath & body,bath & shower,hand soap & wash
187,https://www.ulta.com/bath-body-body-moisturizers?N=26v3&No=0&Nrpp=500,bath & body,body moisturizers, 
188,https://www.ulta.com/bath-body-body-moisturizers-body-lotion-creams?N=26v4&No=0&Nrpp=500,bath & body,body moisturizers,body lotion & creams
189,https://www.ulta.com/bath-body-body-moisturizers-body-oils?N=26v6&No=0&Nrpp=500,bath & body,body moisturizers,body oils
190,https://www.ulta.com/bath-body-hand-foot-care?N=27ic&No=0&Nrpp=500,bath & body,hand & foot care, 
191,https://www.ulta.com/bath-body-hand-foot-care-hand-cream-foot-cream?N=27id&No=0&Nrpp=500,bath & body,hand & foot care,hand cream & foot cream
192,https://www.ulta.com/bath-body-hand-foot-care-hand-foot-treatment?N=27ie&No=0&Nrpp=500,bath & body,hand & foot care,hand & foot treatment
193,https://www.ulta.com/bath-body-self-care-wellness?N=27i3&No=0&Nrpp=500,bath & body,self care & wellness, 
194,https://www.ulta.com/bath-body-self-care-wellness?N=27i3&No=500&Nrpp=500,bath & body,self care & wellness, 
195,https://www.ulta.com/bath-body-self-care-wellness-body-treatments?N=27i4&No=0&Nrpp=500,bath & body,self care & wellness,body treatments
196,https://www.ulta.com/bath-body-self-care-wellness-aromatherapy?N=35c1hg&No=0&Nrpp=500,bath & body,self care & wellness,aromatherapy
197,https://www.ulta.com/bath-body-self-care-wellness-deodorant?N=27i6&No=0&Nrpp=500,bath & body,self care & wellness,deodorant
198,https://www.ulta.com/bath-body-self-care-wellness-hair-removal?N=27i5&No=0&Nrpp=500,bath & body,self care & wellness,hair removal
199,https://www.ulta.com/bath-body-self-care-wellness-oral-care?N=27i7&No=0&Nrpp=500,bath & body,self care & wellness,oral care
200,https://www.ulta.com/bath-body-accessories?N=27i8&No=0&Nrpp=500,bath & body,bath & body accessories, 
201,https://www.ulta.com/bath-body-accessories-bath-sponges-towels?N=27i9&No=0&Nrpp=500,bath & body,bath & body accessories,bath sponges & towels
202,https://www.ulta.com/bath-body-accessories-spa-essentials?N=27ia&No=0&Nrpp=500,bath & body,bath & body accessories,spa essentials
203,https://www.ulta.com/bath-body-accessories-trend-accessories?N=27ib&No=0&Nrpp=500,bath & body,bath & body accessories,trend accessories
204,https://www.ulta.com/bath-body-suncare?N=276b&No=0&Nrpp=500,bath & body,suncare, 
205,https://www.ulta.com/bath-body-suncare-sunscreen?N=27fc&No=0&Nrpp=500,bath & body,suncare,sunscreen
206,https://www.ulta.com/bath-body-suncare-self-tanning-bronzing?N=276e&No=0&Nrpp=500,bath & body,suncare,self-tanning & bronzing
207,https://www.ulta.com/bath-body-suncare-after-sun-care?N=27fd&No=0&Nrpp=500,bath & body,suncare,after sun care
208,https://www.ulta.com/bath-body-ulta-collection?N=26vk&No=0&Nrpp=500,bath & body,ulta collection, 
209,https://www.ulta.com/bath-body-travel-size?N=276l&No=0&Nrpp=500,bath & body,travel size, 
210,https://www.ulta.com/bath-body-gifts-value-sets?N=26vq&No=0&Nrpp=500,bath & body,gifts & value sets, 
211,https://www.ulta.com/men-skin-care?N=27ck&No=0&Nrpp=500,men,skin care, 
212,https://www.ulta.com/men-skin-care-face-wash?N=27cl&No=0&Nrpp=500,men,skin care,face wash
213,https://www.ulta.com/men-skin-care-moisturizers-treatments?N=27cm&No=0&Nrpp=500,men,skin care,moisturizers & treatments
214,https://www.ulta.com/men-shaving?N=u99ul3&No=0&Nrpp=500,men,shaving, 
215,https://www.ulta.com/men-shaving-cream-razors?N=rcphjk&No=0&Nrpp=500,men,shaving,shaving cream & razors
216,https://www.ulta.com/men-shaving-aftershave?N=3hcaqj&No=0&Nrpp=500,men,shaving,aftershave
217,https://www.ulta.com/men-shaving-beard-care?N=u5rnk6&No=0&Nrpp=500,men,shaving,beard care
218,https://www.ulta.com/men-body-care?N=wpkeo8&No=0&Nrpp=500,men,body care, 
219,https://www.ulta.com/men-body-care-shower-gel-body-wash?N=7831sd&No=0&Nrpp=500,men,body care,shower gel & body wash
220,https://www.ulta.com/men-body-care-body-lotion?N=plc7wk&No=0&Nrpp=500,men,body care,body lotion
221,https://www.ulta.com/men-body-care-deodorant?N=uax0lc&No=0&Nrpp=500,men,body care,deodorant
222,https://www.ulta.com/men-hair?N=26zv&No=0&Nrpp=500,men,hair, 
223,https://www.ulta.com/men-hair-shampoo?N=26zw&No=0&Nrpp=500,men,hair,shampoo
224,https://www.ulta.com/men-hair-conditioner?N=26zx&No=0&Nrpp=500,men,hair,conditioner
225,https://www.ulta.com/men-hair-thinning-hair-loss?N=jfo5o&No=0&Nrpp=500,men,hair,hair thinning & hair loss
226,https://www.ulta.com/men-hair-styling?N=26zy&No=0&Nrpp=500,men,hair,styling
227,https://www.ulta.com/men-cologne?N=1wrfdjd&No=0&Nrpp=500,men,cologne, 
228,https://www.ulta.com/men-travel-size?N=27cp&No=0&Nrpp=500,men,travel size, 
229,https://www.ulta.com/men-gifts-value-sets?N=27cq&No=0&Nrpp=500,men,gifts & value sets, 
