main_category,sub_category,sub_sub_category,name,brand,product,price,old_price,percent_off,options,offers,rating,no_of_reviews,age
makeup,gifts & value sets,,KVD Vegan BeautyShade + Light Powder Contour Palette Refill,KVD Vegan Beauty,Shade + Light Powder Contour Palette Refill,14,$16.00 ,12.50%,"Lyric (highlight powder - yellow beige), Lucid (highlight powder - pinkish nude), Levitation (highlight powder - soft peach)",,0,,new
makeup,lips,,Ofra CosmeticsLong Lasting Liquid Lipstick,Ofra Cosmetics,Long Lasting Liquid Lipstick,14,$20.00 ,30.00%,Milan (true crimson red w/ a hydrating matte finish - online only),,4.3,919,old
makeup,face,highlighter,ICONIC LONDONMultiglow,ICONIC LONDON,Multiglow,23.8,$34.00 ,30.00%,"Warm Honey (bronze gold), Frosted Gold (icy champagne gold)",,3.7,3,old
makeup,gifts & value sets,makeup palettes,ICONIC LONDONLoose Pigment Palette,ICONIC LONDON,Loose Pigment Palette,40.6,$58.00 ,30.00%,Original (bronze/golden),,3.5,4,old
makeup,eyes,,ICONIC LONDONChrome Flash Eye Pot,ICONIC LONDON,Chrome Flash Eye Pot,16.8,$24.00 ,30.00%,"Mystic (mauve), Eclipse (purple), Spellbound (pink), Lunar (gray), Cosmic (gold)",,3,4,old
makeup,face,,Lime CrimeSoftwear Blush Soft Matte,Lime Crime,Softwear Blush Soft Matte,15.4,$22.00 ,30.00%,"Flower.ai (vibrant pink, matte)",,3.1,14,old
makeup,eyes,eyeliner,EyekoSkinny Liquid Vegan Eyeliner,Eyeko,Skinny Liquid Vegan Eyeliner,15.4,$22.00 ,30.00%,Black,,4.5,376,old
skin care,supplements,,Naturally G4UDe-Stress - Daily Super Greens Detox Powder,Naturally G4U,De-Stress - Daily Super Greens Detox Powder,17.49,$34.99 ,50.01%,"9.0 oz, 14 ct",,4.6,10,old
makeup,face,,PÜR4-In-1 Love Your Selfie Longwear Foundation & Concealer,PÜR,4-In-1 Love Your Selfie Longwear Foundation & Concealer,25.2,$36.00 ,30.00%,DPG4 Coffee (rich brown skin w/ golden undertones),,4,393,old
makeup,face,,Juvia's PlaceThe Tribe Highlighter,Juvia's Place,The Tribe Highlighter,12,$15.00 ,20.00%,Vol. 3 (champagne),,4.5,52,old
