product_id,price,options,sku_id,brand,product,url,rating,no_of_reviews,offers,main_category,sub_category,sub_sub_category,old_price,age,percent_off
xlsImpprod16501415,30.1,6W1 Sandalwood,2521776,Estée Lauder,Double Wear Maximum Cover Camouflage Foundation For Face and Body SPF 15,https://www.ulta.com/p/double-wear-maximum-cover-camouflage-foundation-face-body-spf-15-xlsImpprod16501415,4.20,189,Free Gift with Purchase!,makeup,body makeup, ,$43.00,old,0.3
pimprod2007645,1.99,"Strong, Free, Irresistible, Popular, Fierce, Powerful, Enough",2547646,Essence,This Is Nude Lipstick,https://www.ulta.com/p/this-nude-lipstick-pimprod2007645,3.90,148,,makeup,lips, ,$3.99,old,0.5013
xlsImpprod15711045,1.99,"Carried Away, Blessed, Va Voom!",2581627,L.A. Girl,Matte Flat Velvet Lipstick,https://www.ulta.com/p/matte-flat-velvet-lipstick-xlsImpprod15711045,3.80,259,,makeup,lips, ,$3.99,old,0.5013
pimprod2008841,24.5,"Light (Shimmering Champagne), Deep (Shimmering Bronze)",2550355,COVER FX,Illuminating Setting Powder,https://www.ulta.com/p/illuminating-setting-powder-pimprod2008841,4.00,66,,makeup,face, ,$35.00,old,0.3
pimprod2018484,24.5,5.1 oz,2563139,Joico,K-PAK Color Therapy Luster Lock,https://www.ulta.com/p/k-pak-color-therapy-luster-lock-pimprod2018484,4.40,68,,hair,treatment, ,$24.50 - $35.00,old,
pimprod2006734,4.79,Speak Your Mind,2581596,Maybelline,SuperStay Ink Crayon Lipstick,https://www.ulta.com/p/superstay-ink-crayon-lipstick-pimprod2006734,4.40,688,,makeup,lips, ,$9.49,old,0.4953
pimprod2008578,20.0,"Medium Dark (medium dark skin w/ neutral undertones), Light (light skin w/ neutral or golden undertones), Medium (medium skin w/ golden or neutral undertones), Fair (fair skin w/ neutral or pink undertones)",2553268,W3LL PEOPLE,Bio Correct Multi-Action Concealer,https://www.ulta.com/p/bio-correct-multi-action-concealer-pimprod2008578,4.60,391,,makeup,face, ,$22.99,old,0.1301
pimprod2008876,6.5,OPI Grabs the Unicorn by the Horn (captivating soft blue),2512265,OPI,"Infinite Shine Long-Wear Nail Polish, Blues",https://www.ulta.com/p/infinite-shine-long-wear-nail-polish-blues-pimprod2008876,4.40,122,,nails,nail polish, ,$13.00,old,0.5
pimprod2009410,6.99,Gorgeous Gia (deep berry),2590850,florence by mills,Cheek Me Later Cream Blush,https://www.ulta.com/p/cheek-me-later-cream-blush-pimprod2009410,4.60,1006,,makeup,face, ,$14.00,old,0.5007
pimprod2009873,18.9,Glam,2553334,COVER FX,Spotlight Loose Powder Highlighter,https://www.ulta.com/p/spotlight-loose-powder-highlighter-pimprod2009873,4.10,10,,makeup,face, ,$27.00,old,0.3
pimprod2009411,8.99,"D180 (deep w/ warm undertones), M080 (medium w/ warm and golden undertones), T140 (tan w/ cool and neutral undertones), TD160 (tan to deep w/ warm undertones), D200 (deep w/ neutral undertones)",2554824,florence by mills,Like a Light Skin Tint,https://www.ulta.com/p/like-a-light-skin-tint-pimprod2009411,4.00,974,,skin care,moisturizers,face moisturizer,$18.00,old,0.5006
pimprod2005907,2.75,"Getting My Screen Time (medium grey), Red Carpet Premiere (red), Silver Screen Starlet (silver metallic), Snap A Photo (dark grey), Glittering Like A Star (gold glitter special effect), Silver Upswing (platinum glitter), Kiss My Luster (garnet red pearl), I'm The Shining Star (gold)",2546146,Red Carpet Manicure,Fortify & Protect LED Gel Nail Polish Collection,https://www.ulta.com/p/fortify-protect-led-gel-nail-polish-collection-pimprod2005907,3.10,130,,nails,gel nail polish, ,$10.99,old,0.7498
pimprod2018185,2.75,Paris At Midnight (deep purple creme),2567149,Red Carpet Manicure,French Kiss Led Gel Nail Polish Collection,https://www.ulta.com/p/french-kiss-led-gel-nail-polish-collection-pimprod2018185,3.20,12,,nails,gel nail polish, ,$10.99,old,0.7498
pimprod2029054,2.75,"Seeing Stars (silver metallic glitter), Meet Me On The Rooftop (purple mauve crème), Champagne Showers (tan crème), Sparkle In Style (light purple metallic glitter), By The Moonlight (indigo pearl)",2586238,Red Carpet Manicure,Magical Moments LED Gel Collection,https://www.ulta.com/p/magical-moments-led-gel-collection-pimprod2029054,3.00,1,,nails,gel nail polish, ,$10.99,old,0.7498
pimprod2009414,7.99,"TD155 (tan to deep w/ red undertones), T135 (tan w/ golden and olive undertones), D165 (deep w/ golden undertones)",2554815,florence by mills,See You Never Concealer,https://www.ulta.com/p/see-you-never-concealer-pimprod2009414,4.50,1043,,makeup,face, ,$16.00,old,0.5006
xlsImpprod17631387,7.99,Pink Orchid (blue pink),2524931,FLOWER Beauty,Petal Pout Lip Color,https://www.ulta.com/p/petal-pout-lip-color-xlsImpprod17631387,4.50,366,"Buy 1, get 1 at 50% off!",makeup,lips, ,$8.99,old,0.1112
xlsImpprod4070011,7.99,Matte Black,2566778,Maybelline,Eye Studio Master Precise Liquid Eyeliner,https://www.ulta.com/p/eye-studio-master-precise-liquid-eyeliner-xlsImpprod4070011,3.80,1471,,makeup,eyes, ,$8.99,old,0.1112
pimprod2014445,24.99,Dark (darker natural glow),2562119,Australian Glow,One Hour Express Self Tan Mousse,https://www.ulta.com/p/one-hour-express-self-tan-mousse-pimprod2014445,4.30,149,,bath & body,suncare, ,$29.99,old,0.1667
pimprod2014618,31.5,Heatwave,2563306,Estée Lauder,Bronze Goddess Highlighting Powder Gelee,https://www.ulta.com/p/bronze-goddess-highlighting-powder-gelee-pimprod2014618,4.40,12,Free Gift with Purchase!,makeup,face, ,$45.00,old,0.3
pimprod2015732,3.99,Emerald Green,2563747,Got 2b,Playful Temporary Hair Chalk,https://www.ulta.com/p/playful-temporary-hair-chalk-pimprod2015732,2.90,17,,hair,hair color, ,$7.99,old,0.5006
pimprod2014942,14.5,61H Mahogany (very deep skin with peach undertones),2562236,Tarte,Maracuja Tinted Moisturizer,https://www.ulta.com/p/maracuja-tinted-moisturizer-pimprod2014942,3.90,183,,skin care,moisturizers, ,$29.00,old,0.5
xlsImpprod19021007,25.0,Original,2536976,ICONIC LONDON,Prep Set Glow,https://www.ulta.com/p/prep-set-glow-xlsImpprod19021007,4.10,81,,skin care,moisturizers, ,$29.00,old,0.1379
