ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
3254,pimprod2016924,makeup,eyes, ,Essence,24Ever Ink Liner,https://www.ulta.com/24ever-ink-liner?productId=pimprod2016924
3255,xlsImpprod3020051,makeup,eyes, ,NYX Professional Makeup,Super Fat Eye Marker,https://www.ulta.com/super-fat-eye-marker?productId=xlsImpprod3020051
3256,pimprod2007342,makeup,eyes, ,Maybelline,TattooStudio Liquid Ink Eyeliner,https://www.ulta.com/tattoostudio-liquid-ink-eyeliner?productId=pimprod2007342
3257,pimprod2012443,makeup,eyes, ,Laura Mercier,Longwear Crème Eye Pencil,https://www.ulta.com/longwear-creme-eye-pencil?productId=pimprod2012443
3258,xlsImpprod1790023,makeup,eyes, ,L'Oréal,Extra-Intense Liquid Pencil Eyeliner,https://www.ulta.com/extra-intense-liquid-pencil-eyeliner?productId=xlsImpprod1790023
3259,pimprod2007330,makeup,eyes, ,Revlon,So Fierce Vinyl Eyeliner,https://www.ulta.com/so-fierce-vinyl-eyeliner?productId=pimprod2007330
3260,xlsImpprod4670063,makeup,eyes, ,L'Oréal,Carbon Black Telescopic Precision Liquid Eyeliner,https://www.ulta.com/carbon-black-telescopic-precision-liquid-eyeliner?productId=xlsImpprod4670063
3261,xlsImpprod12741001,makeup,eyes, ,CoverGirl,Intensify Me! Liquid Liner,https://www.ulta.com/intensify-me-liquid-liner?productId=xlsImpprod12741001
3262,xlsImpprod12841067,makeup,eyes, ,Eyeko,Sport Waterproof Vegan Gel Eyeliner,https://www.ulta.com/sport-waterproof-vegan-gel-eyeliner?productId=xlsImpprod12841067
3263,pimprod2006197,makeup,eyes, ,UOMA Beauty,Afro.Dis.Iac Cleopatra Ink Liquid Eyeliner,https://www.ulta.com/afrodisiac-cleopatra-ink-liquid-eyeliner?productId=pimprod2006197
3264,pimprod2009570,makeup,eyes,eyelashes,Eylure,ProMagnetic Magnetic Lash Eyeliner,https://www.ulta.com/promagnetic-magnetic-lash-eyeliner?productId=pimprod2009570
3265,xlsImpprod5520015,makeup,eyes, ,CoverGirl,Ink It! Perfect Point Plus Eyeliner,https://www.ulta.com/ink-it-perfect-point-plus-eyeliner?productId=xlsImpprod5520015
