product_id,price,options,brand,product,url,rating,no_of_reviews,main_category,sub_category,sub_sub_category,offers,old_price,age,percent_off
pimprod2003096,2.62,Jet Black,ULTA,Bold Ambition Mascara,https://www.ulta.com/bold-ambition-mascara?productId=pimprod2003096,3.20,87,makeup,eyes, ,,$10.50,old,0.7505
pimprod2003475,3.5,Blood Stone,Sleek MakeUP,Shattered Glass Lip Topper,https://www.ulta.com/shattered-glass-lip-topper?productId=pimprod2003475,5.00,4,makeup,lips, ,,$7.00,old,0.5
pimprod2005889,3.5,Sheer Plum,ChapStick,Total Hydration Vitamin Enriched Tinted Lip Oil,https://www.ulta.com/total-hydration-vitamin-enriched-tinted-lip-oil?productId=pimprod2005889,3.80,24,skin care,moisturizers,lip care,,$6.99,old,0.4993
pimprod2005937,3.5,"Carnage, Do You Mind, You Want Some More, Problematic, Boss Mode",Sleek MakeUP,Lip Dose Soft Matte LipClick,https://www.ulta.com/lip-dose-soft-matte-lipclick?productId=pimprod2005937,4.80,8,makeup,lips,lipstick,,$7.00,old,0.5
pimprod2003477,2.5,"About Last Nite (light brown), Back to Reality (cream nude), Impatient (champagne god metallic), Never Learn (bronze metallic)",Sleek MakeUP,Eyeshadow Mono,https://www.ulta.com/eyeshadow-mono?productId=pimprod2003477,4.30,9,makeup,eyes,eyeshadow,,$5.00,old,0.5
pimprod2013399,2.5,"Clay, Sand",e.l.f. Cosmetics,Putty Eye Primer,https://www.ulta.com/putty-eye-primer?productId=pimprod2013399,3.10,178,makeup,eyes, ,,$5.00,old,0.5
pimprod2003500,23.8,Frosted Gold (icy champagne gold),ICONIC LONDON,Multiglow,https://www.ulta.com/multiglow?productId=pimprod2003500,3.70,3,makeup,face,highlighter,,$34.00,old,0.3
pimprod2003501,40.6,Original (bronze/golden),ICONIC LONDON,Loose Pigment Palette,https://www.ulta.com/loose-pigment-palette?productId=pimprod2003501,3.50,4,makeup,gifts & value sets,makeup palettes,,$58.00,old,0.3
pimprod2003502,16.8,"Cosmic (gold), Eclipse (purple), Spellbound (pink)",ICONIC LONDON,Chrome Flash Eye Pot,https://www.ulta.com/chrome-flash-eye-pot?productId=pimprod2003502,3.00,4,makeup,eyes,eyeshadow,,$24.00,old,0.3
pimprod2005603,17.49,"14 ct, 9.0 oz",Naturally G4U,De-Stress - Daily Super Greens Detox Powder,https://www.ulta.com/de-stress-daily-super-greens-detox-powder?productId=pimprod2005603,4.60,11,skin care,supplements, ,,$34.99,old,0.5001
