ulta_id,product_id,main_category,sub_category,sub_sub_category,brand,product,url
970,xlsImpprod5870152,hair,shampoo & conditioner,shampoo,Tigi,Bed Head Dumb Blonde Shampoo,https://www.ulta.com/bed-head-dumb-blonde-shampoo?productId=xlsImpprod5870152
971,xlsImpprod13451015,hair,shampoo & conditioner,conditioner,John Frieda,Sheer Blonde Go Blonder Lightening Conditioner,https://www.ulta.com/sheer-blonde-go-blonder-lightening-conditioner?productId=xlsImpprod13451015
972,xlsImpprod15511077,hair,treatment, ,Redken,Extreme Mega Mask,https://www.ulta.com/extreme-mega-mask?productId=xlsImpprod15511077
973,pimprod2013608,hair,treatment, ,Kreyòl Essence,Haitian Black Castor Oil Deep Conditioning Hair Mask,https://www.ulta.com/haitian-black-castor-oil-deep-conditioning-hair-mask?productId=pimprod2013608
974,pimprod2014377,hair,treatment, ,Pacifica,Rosemary Detox Scalp Scrub,https://www.ulta.com/rosemary-detox-scalp-scrub?productId=pimprod2014377
975,pimprod2000201,hair,treatment, ,Alterna,Caviar Anti-Aging Replenishing Moisture Masque,https://www.ulta.com/caviar-anti-aging-replenishing-moisture-masque?productId=pimprod2000201
976,xlsImpprod18091263,hair,treatment, ,Keranique,Hair Regrowth Treatment,https://www.ulta.com/hair-regrowth-treatment?productId=xlsImpprod18091263
977,pimprod2005054,hair,treatment, ,Sugarbearhair,Women's Multi Vegan Gummies 3 Month Supply Set,https://www.ulta.com/womens-multi-vegan-gummies-3-month-supply-set?productId=pimprod2005054
978,xlsImpprod18321247,hair,treatment, ,Paul Mitchell,Tea Tree Scalp Care Anti-Thinning Tonic,https://www.ulta.com/tea-tree-scalp-care-anti-thinning-tonic?productId=xlsImpprod18321247
979,pimprod2017456,hair,treatment, ,Bosley,Rejuvenating Scalp Scrub,https://www.ulta.com/rejuvenating-scalp-scrub?productId=pimprod2017456
980,pimprod2017428,hair,treatment, ,Bosley,Hair Regrowth Treatment for Men,https://www.ulta.com/hair-regrowth-treatment-men?productId=pimprod2017428
981,pimprod2006420,men,hair, ,Thick Head,Head Start Hair Loss Treatment & Regrowth System,https://www.ulta.com/head-start-hair-loss-treatment-regrowth-system?productId=pimprod2006420
982,pimprod2013078,hair,styling products,gloss & shine,My Amazing,Shine Sheen Lightweight Finishing Mist,https://www.ulta.com/shine-sheen-lightweight-finishing-mist?productId=pimprod2013078
983,pimprod2016681,hair,gifts & value sets, ,We Are Paradoxx,Party Styling Kit,https://www.ulta.com/party-styling-kit?productId=pimprod2016681
984,pimprod2017447,hair,styling products,hairspray,Bosley,BosVolumize Weightless & Long Lasting Styling Hairspray,https://www.ulta.com/bosvolumize-weightless-long-lasting-styling-hairspray?productId=pimprod2017447
985,pimprod2017425,hair,styling products,volume & texture,Bosley,BosVolumize Volumizing & Thickening Styling Mousse,https://www.ulta.com/bosvolumize-volumizing-thickening-styling-mousse?productId=pimprod2017425
986,pimprod2013033,hair,styling products,hairspray,My Amazing,Finish Out Finishing Hairspray,https://www.ulta.com/finish-out-finishing-hairspray?productId=pimprod2013033
987,pimprod2008140,hair,travel size, ,Bumble and bumble,Travel Size Bb. Don't Blow It (Fine),https://www.ulta.com/travel-size-bb-dont-blow-it-fine?productId=pimprod2008140
988,pimprod2013080,hair,styling products,volume & texture,My Amazing,Transforming Texture Paste,https://www.ulta.com/transforming-texture-paste?productId=pimprod2013080
989,pimprod2005833,hair,travel size, ,Rusk,Travel Size Finish04 Firm Hold Hairspray,https://www.ulta.com/travel-size-finish04-firm-hold-hairspray?productId=pimprod2005833
990,pimprod2010569,hair,travel size, ,Captain Blankenship,Travel Size Mermaid Sea Salt Hair Spray,https://www.ulta.com/travel-size-mermaid-sea-salt-hair-spray?productId=pimprod2010569
991,pimprod2017445,hair,styling products,volume & texture,Bosley,BosVolumize Style+ Blow Dry & Styling Gel,https://www.ulta.com/bosvolumize-style-blow-dry-styling-gel?productId=pimprod2017445
992,pimprod2007763,hair,styling products,volume & texture,We Are Paradoxx,Fierce Sea Salt Spray,https://www.ulta.com/fierce-sea-salt-spray?productId=pimprod2007763
993,pimprod2016390,hair,styling products,hairspray,Tyme,SelfieTYME Hairspray,https://www.ulta.com/selfietyme-hairspray?productId=pimprod2016390
