product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,offers,options,main_category,sub_category,sub_sub_category,sale_price
pimprod2009010,2051371,OPI,"Nail Lacquer Nail Polish, Reds",https://www.ulta.com/nail-lacquer-nail-polish-reds?productId=pimprod2009010,4.60,36,0,$5.25 - $10.50, ,9 Colors,nails,nail polish, , 
pimprod2009014,2552317,BH Cosmetics,Beautiful in Barcelona - 16 Color Shadow Palette,https://www.ulta.com/beautiful-in-barcelona-16-color-shadow-palette?productId=pimprod2009014,4.90,28,0,$8.00, , ,makeup,gifts & value sets,makeup palettes, 
pimprod2009041,2555340,Hugo Boss,BOSS The Scent Absolute Eau de Parfum,https://www.ulta.com/boss-scent-absolute-eau-de-parfum?productId=pimprod2009041,5.00,2,0,$97.00,Free Gift with Purchase!, ,fragrance,men's fragrance, , 
pimprod2009398,2554650,Riki Loves Riki,Riki Skinny Mirror,https://www.ulta.com/riki-skinny-mirror?productId=pimprod2009398,4.70,26,0,$195.00 - $205.00, ,2 Colors,tools & brushes,makeup brushes & tools, , 
pimprod2009488,2555737,Petite 'n Pretty,Glo$$ Balm Glossy Lip Balm,https://www.ulta.com/glo-balm-glossy-lip-balm?productId=pimprod2009488,5.00,28,0,$14.00,Free Gift with Purchase!,5 Colors,makeup,lips, , 
pimprod2009495,2555890,Petite 'n Pretty,10K Shine Lip Gloss,https://www.ulta.com/10k-shine-lip-gloss?productId=pimprod2009495,4.80,54,0,$14.00 - $16.00,Free Gift with Purchase!,6 Colors,makeup,lips, , 
pimprod2009905,2553668,I Heart Revolution,Coconut Dream Hydrating Primer,https://www.ulta.com/coconut-dream-hydrating-primer?productId=pimprod2009905,2.80,13,0,$3.99, , ,makeup,face, , 
pimprod2009906,2553666,I Heart Revolution,Banana Split Radiance Primer,https://www.ulta.com/banana-split-radiance-primer?productId=pimprod2009906,3.70,9,0,$3.99, , ,makeup,face,face primer, 
pimprod2009933,2553708,Makeup Revolution,Sheer Lip,https://www.ulta.com/sheer-lip?productId=pimprod2009933,4.20,31,0,$2.99, , ,makeup,lips, , 
pimprod2009950,2553840,REVOLUTION SKINCARE,Rose Tonic,https://www.ulta.com/rose-tonic?productId=pimprod2009950,4.00,2,0,$6.99, , ,skin care,cleansers,toner, 
pimprod2010127,2552240,REVOLUTION SKINCARE,CBD Serum,https://www.ulta.com/cbd-serum?productId=pimprod2010127,4.20,6,0,$6.99, , ,skin care,treatment & serums,face serums, 
pimprod2010129,2552243,REVOLUTION SKINCARE,Cica Tonic,https://www.ulta.com/cica-tonic?productId=pimprod2010129,2.00,2,0,$6.99, , ,skin care,cleansers,toner, 
pimprod2010198,2299341,OPI,"Nail Lacquer Nail Polish, Oranges/Yellows/Greens",https://www.ulta.com/nail-lacquer-nail-polish-orangesyellowsgreens?productId=pimprod2010198,4.10,27,0,$5.25 - $10.50, ,6 Colors,nails,nail polish, , 
pimprod2010633,2557854,Scünci,Herringbone Pattern Headband,https://www.ulta.com/herringbone-pattern-headband?productId=pimprod2010633,4.50,2,0,$5.97, , ,tools & brushes,accessories, , 
pimprod2010636,2557865,Scünci,Leather And Stripe Bow Scrunchie,https://www.ulta.com/leather-stripe-bow-scrunchie?productId=pimprod2010636,0.0, ,0,$5.97, , ,tools & brushes,accessories, , 
pimprod2010919,2557875,Scünci,Round Clear Barrette,https://www.ulta.com/round-clear-barrette?productId=pimprod2010919,2.70,3,0,$3.97, , ,tools & brushes,accessories, , 
pimprod2011010,2557842,Scünci,Pyramid Stone Salon Clip,https://www.ulta.com/pyramid-stone-salon-clip?productId=pimprod2011010,5.00,1,0,$3.97, , ,tools & brushes,accessories, , 
pimprod2011013,2557866,Scünci,Satin Scrunchie with Tulle Trim,https://www.ulta.com/satin-scrunchie-with-tulle-trim?productId=pimprod2011013,5.00,1,0,$5.97, , ,tools & brushes,accessories, , 
pimprod2011532,2557784,Plant Apothecary,Reset Organic Makeup Remover,https://www.ulta.com/reset-organic-makeup-remover?productId=pimprod2011532,3.90,17,0,$9.00, , ,skin care,cleansers, , 
pimprod2011611,2555747,REVOLUTION SKINCARE,Cica Balm,https://www.ulta.com/cica-balm?productId=pimprod2011611,4.00,4,0,$5.49, , ,nails,nail care, , 
pimprod2011648,2559261,Physicians Formula,Brow Gel,https://www.ulta.com/brow-gel?productId=pimprod2011648,4.20,456,0,$6.29 - $12.49, ,4 Colors,makeup,eyes,eyebrows, 
pimprod2011700,2559228,VitaminSea.beauty,Rosehip & Sea Buckthorn Moisturizing Facial Oil,https://www.ulta.com/rosehip-sea-buckthorn-moisturizing-facial-oil?productId=pimprod2011700,4.40,18,0,$5.99,"Buy 1, get 1 at 50% off!", ,skin care,moisturizers, , 
pimprod2011869,2557791,Gucci,Guilty Love Edition Pour Homme Eau de Toilette,https://www.ulta.com/guilty-love-edition-pour-homme-eau-de-toilette?productId=pimprod2011869,4.40,343,0,$77.00 - $97.00,Free Gift with Purchase!,2 Sizes,fragrance,men's fragrance, , 
pimprod2012104,2559295,Physicians Formula,Precision Liquid Eyeliner,https://www.ulta.com/precision-liquid-eyeliner?productId=pimprod2012104,4.00,17,0,$6.29 - $12.49,"Buy 1, get 1 at 50% off!",2 Colors,makeup,eyes,eyeliner, 
pimprod2012139,2559384,REVOLUTION SKINCARE,Purifying Rice Cleansing Powder,https://www.ulta.com/purifying-rice-cleansing-powder?productId=pimprod2012139,3.20,5,0,$6.99, , ,skin care,cleansers,face wash, 
pimprod2012140,2559383,REVOLUTION SKINCARE,Purifying Charcoal Cleansing Powder,https://www.ulta.com/purifying-charcoal-cleansing-powder?productId=pimprod2012140,3.30,3,0,$6.99, , ,skin care,cleansers,face wash, 
pimprod2012146,2557516,Yes to,Grapefruit Glow-Boosting Daily Exfoliating Tonic,https://www.ulta.com/grapefruit-glow-boosting-daily-exfoliating-tonic?productId=pimprod2012146,4.40,65,0,$7.49, , ,skin care,cleansers, , 
pimprod2012186,2557641,Plant Apothecary,Superfacial Organic Oil Moisturizer,https://www.ulta.com/superfacial-organic-oil-moisturizer?productId=pimprod2012186,4.50,28,0,$32.50, , ,skin care,moisturizers, , 
pimprod2012191,2557642,Plant Apothecary,"Superfacial Organic, Superlight Oil Moisturizer",https://www.ulta.com/superfacial-organic-superlight-oil-moisturizer?productId=pimprod2012191,4.90,15,0,$32.50, , ,skin care,moisturizers, , 
pimprod2012210,2557086,Revlon,Super Lustrous Glass Shine Lipstick,https://www.ulta.com/super-lustrous-glass-shine-lipstick?productId=pimprod2012210,4.60,1918,0,$4.99 - $9.99,"Buy 2, get 1 FREE - Add 3 items to qualify!",24 Colors,makeup,lips, , 
pimprod2012570,2554316,Makeup Revolution,Lip Vinyl,https://www.ulta.com/lip-vinyl?productId=pimprod2012570,4.00,12,0,$3.49 - $7.00, ,11 Colors,makeup,lips,lip gloss, 
pimprod2012777,2562307,W3LL PEOPLE,Expressionist Volumizing Mascara,https://www.ulta.com/expressionist-volumizing-mascara?productId=pimprod2012777,4.50,40,0,$19.00, ,2 Colors,makeup,eyes, , 
pimprod2012841,2559500,Botanics,Nourishing Organic Cotton Facial Wipes,https://www.ulta.com/nourishing-organic-cotton-facial-wipes?productId=pimprod2012841,4.00,20,0,$2.99, , ,skin care,cleansers, , 
pimprod2012892,2557370,Milani,Ludicrous Lip Gloss,https://www.ulta.com/ludicrous-lip-gloss?productId=pimprod2012892,4.60,175,0,$4.49, ,9 Colors,makeup,lips, , 
pimprod2012988,2554176,Makeup Revolution,Conceal & Define Satte Matte Powder Foundation,https://www.ulta.com/conceal-define-satte-matte-powder-foundation?productId=pimprod2012988,4.20,83,0,$5.49 - $11.00, ,13 Colors,makeup,face, , 
pimprod2012989,2557568,Milani,Most Wanted Palettes,https://www.ulta.com/most-wanted-palettes?productId=pimprod2012989,4.10,80,0,$4.99 - $9.99, ,4 Colors,makeup,gifts & value sets,makeup palettes, 
pimprod2012994,2557358,Milani,Screen Queen Foundation,https://www.ulta.com/screen-queen-foundation?productId=pimprod2012994,4.10,193,0,$6.99 - $13.99, ,45 Colors,makeup,face, , 
pimprod2013325,2559150,BH Cosmetics,Cashmere Cream - Comfort Lipstick,https://www.ulta.com/cashmere-cream-comfort-lipstick?productId=pimprod2013325,4.50,4,0,$2.40, ,8 Colors,makeup,lips,lipstick, 
pimprod2013339,2559528,Physicians Formula,Rosé All Day x Exteriorglam Palette,https://www.ulta.com/rose-all-day-x-exteriorglam-palette?productId=pimprod2013339,4.20,34,0,$9.99, , ,makeup,gifts & value sets,value sets, 
pimprod2013372,2566613,Catrice,Slim'matic Camouflage Stick,https://www.ulta.com/slimmatic-camouflage-stick?productId=pimprod2013372,1.60,5,0,$3.49, ,10 Colors,makeup,face,concealer, 
pimprod2013400,2559313,Physicians Formula,Natural Defense Protect Your Prime Oil SPF 15,https://www.ulta.com/natural-defense-protect-your-prime-oil-spf-15?productId=pimprod2013400,3.80,9,0,$7.99, , ,makeup,face,face primer, 
pimprod2013401,2558551,e.l.f. Cosmetics,"Glow, Gleam, Beam Highlighting Palette",https://www.ulta.com/glow-gleam-beam-highlighting-palette?productId=pimprod2013401,4.30,43,0,$5.00,Free Gift with Purchase!, ,makeup,gifts & value sets,makeup palettes, 
pimprod2013402,2558554,e.l.f. Cosmetics,Total Face Sponge Duo,https://www.ulta.com/total-face-sponge-duo?productId=pimprod2013402,4.40,24,0,$8.00,Free Gift with Purchase!, ,tools & brushes,makeup brushes & tools, , 
pimprod2013449,2562296,Pixi,Glow-y Powder,https://www.ulta.com/glow-y-powder?productId=pimprod2013449,4.10,7,0,$8.99, , ,makeup,face,highlighter, 
pimprod2013452,2562274,Pixi,LipLift Max,https://www.ulta.com/liplift-max?productId=pimprod2013452,4.60,14,0,$6.99 - $14.00, ,5 Colors,makeup,lips,lip plumpers, 
pimprod2013458,2562280,Pixi,pHenomenal Gel,https://www.ulta.com/phenomenal-gel?productId=pimprod2013458,3.50,2,0,$11.99, , ,skin care,moisturizers, , 
pimprod2013516,2558454,Wet n Wild,Mega Last Stained Glass Lip Gloss,https://www.ulta.com/mega-last-stained-glass-lip-gloss?productId=pimprod2013516,4.40,85,0,$2.99, , ,makeup,lips, , 
pimprod2013730,2568327,Pixi,Lip Icing,https://www.ulta.com/lip-icing?productId=pimprod2013730,5.00,4,0,$6.99 - $14.00, ,3 Colors,makeup,lips,lipstick, 
pimprod2014398,2560545,Revolution PRO,New Neutrals Blushed Satin Matte Lipstick,https://www.ulta.com/new-neutrals-blushed-satin-matte-lipstick?productId=pimprod2014398,3.80,13,0,$4.49, ,4 Colors,makeup,lips,lipstick, 
pimprod2014445,2562119,Australian Glow,One Hour Express Self Tan Mousse,https://www.ulta.com/one-hour-express-self-tan-mousse?productId=pimprod2014445,4.30,65,0,$24.99 - $29.99,Free Gift with Purchase!,2 Colors,bath & body,suncare, , 
pimprod2014454,2562123,Australian Glow,One Hour Express Self Tan Mousse Refill,https://www.ulta.com/one-hour-express-self-tan-mousse-refill?productId=pimprod2014454,5.00,4,0,$22.99 - $26.99, ,2 Colors,bath & body,suncare, , 
pimprod2014588,2563483,Yves Saint Laurent,Y Eau Fraîche Eau de Toilette,https://www.ulta.com/y-eau-fraiche-eau-de-toilette?productId=pimprod2014588,4.80,19,0,$80.00 - $97.00,Free Gift with Purchase!,2 Sizes,fragrance,men's fragrance, , 
pimprod2015135,2562582,Nailtopia,"Plant Based, Bio-Sourced, Chip Free Nail Lacquer",https://www.ulta.com/plant-based-bio-sourced-chip-free-nail-lacquer?productId=pimprod2015135,4.70,277,0,$10.00, ,71 Colors,nails,nail polish, , 
pimprod2015262,2566442,REVOLUTION SKINCARE,Rose & Camomile Serum,https://www.ulta.com/rose-camomile-serum?productId=pimprod2015262,0.0, ,0,$6.99, , ,skin care,treatment & serums,face serums, 
pimprod2015268,2559235,Dr. PAWPAW,Multipurpose Soothing Balm,https://www.ulta.com/multipurpose-soothing-balm?productId=pimprod2015268,4.20,32,0,$8.00 - $10.00, ,2 Options,bath & body,body moisturizers, , 
pimprod2015270,2566450,REVOLUTION SKINCARE,Mood Skin Booster,https://www.ulta.com/mood-skin-booster?productId=pimprod2015270,0.0, ,0,$6.99, ,2 Options,skin care,treatment & serums,face serums, 
pimprod2015274,2566451,REVOLUTION SKINCARE,Mood Moisture Cream,https://www.ulta.com/mood-moisture-cream?productId=pimprod2015274,0.0, ,0,$6.99, ,2 Options,skin care,moisturizers, , 
pimprod2015278,2566448,REVOLUTION SKINCARE,Thirsty Mood Quenching Cleansing Cream,https://www.ulta.com/thirsty-mood-quenching-cleansing-cream?productId=pimprod2015278,2.00,1,0,$4.99, , ,skin care,cleansers,face wash, 
pimprod2015577,2567074,Erborian,Travel Size CC Crème,https://www.ulta.com/travel-size-cc-creme?productId=pimprod2015577,5.00,3,0,$22.00 - $24.00, ,2 Colors,makeup,travel size, , 
pimprod2015674,2567525,e.l.f. Cosmetics,Speak For Your e.l.f. Kit,https://www.ulta.com/speak-your-elf-kit?productId=pimprod2015674,5.00,5,0,$5.00,Free Gift with Purchase!, ,makeup,gifts & value sets,value sets, 
pimprod2015675,2567524,e.l.f. Cosmetics,Feel Your e.l.f. Kit,https://www.ulta.com/feel-your-elf-kit?productId=pimprod2015675,4.30,4,0,$7.50,Free Gift with Purchase!, ,makeup,gifts & value sets, , 
pimprod2015858,2562914,I Heart Revolution,Tasty Peach Liquid Lipstick,https://www.ulta.com/tasty-peach-liquid-lipstick?productId=pimprod2015858,2.60,9,0,$3.49 - $7.00, ,4 Colors,makeup,lips, , 
pimprod2015910,2023655,CHANEL,PLATINUM ÉGOÏSTE Eau de Toilette Spray,https://www.ulta.com/platinum-egoiste-eau-de-toilette-spray?productId=pimprod2015910,0.0, ,0,$97.00, , ,men,cologne, , 
