extra_id,ulta_id,date,price,options,rating,no_of_reviews,offers,url,product_id
14826,14355,08/13/2020,$17.50,,4.00,4.0,"2 for $40!
						

									Free Gift with Purchase!",https://www.ulta.com/christmas-lilies-4-wick-candle?productId=pimprod2012429,pimprod2012429
14827,14356,08/13/2020,$20.00,,4.50,2.0,Free Gift with Purchase!,https://www.ulta.com/autumn-air-scented-soy-blend-candle?productId=pimprod2017319,pimprod2017319
14828,14357,08/13/2020,$25.00,,5.00,2.0,"2 for $40!
						

									Free Gift with Purchase!",https://www.ulta.com/frozen-balsam-4-wick-candle?productId=pimprod2008130,pimprod2008130
14829,14358,08/13/2020,$25.00,,5.00,3.0,"2 for $40!
						

									Free Gift with Purchase!",https://www.ulta.com/heirloom-orchard-4-wick-candle?productId=pimprod2008136,pimprod2008136
14830,14359,08/13/2020,$48.00,,5.00,1.0,Free Gift with Purchase!,https://www.ulta.com/ocean-mist-sea-salt-reed-diffuser?productId=pimprod2014495,pimprod2014495
14831,14360,08/13/2020,$20.00,,5.00,1.0,Free Gift with Purchase!,https://www.ulta.com/iced-pumpkin-scented-soy-blend-candle?productId=pimprod2017323,pimprod2017323
14832,14361,08/13/2020,$48.00,,5.00,1.0,Free Gift with Purchase!,https://www.ulta.com/grapefruit-reed-diffuser?productId=pimprod2014493,pimprod2014493
14833,14362,08/13/2020,$42.00,,5.00,2.0,Free Gift with Purchase!,https://www.ulta.com/grapefruit-scented-candle?productId=pimprod2014492,pimprod2014492
14834,14363,08/13/2020,$28.00 - $48.00,2 Sizes,5.00,7.0,Free Gift with Purchase!,https://www.ulta.com/soy-candle?productId=pimprod2017388,pimprod2017388
14835,14364,08/13/2020,$37.00,,0,,,https://www.ulta.com/rituals-of-dao-calming-medium-gift-set?productId=pimprod2011160,pimprod2011160
14836,14365,08/13/2020,$42.00,,0,,Free Gift with Purchase!,https://www.ulta.com/bamboo-scented-candle?productId=pimprod2014490,pimprod2014490
14837,14366,08/13/2020,$20.00,,3.50,2.0,Free Gift with Purchase!,https://www.ulta.com/pumpkin-spice-scented-soy-blend-candle?productId=pimprod2017321,pimprod2017321
14838,14367,08/13/2020,$24.00 - $32.00,2 Sizes,2.50,4.0,,https://www.ulta.com/glam-collection-volcano-red-signature?productId=pimprod2001506,pimprod2001506
14839,14368,08/13/2020,$24.00,,5.00,2.0,,https://www.ulta.com/lavender-eucalyptus-home-fragrance-no08?productId=pimprod2014345,pimprod2014345
14840,14369,08/13/2020,$20.00,,5.00,3.0,,https://www.ulta.com/simmered-cider-petite-reed-diffuser?productId=xlsImpprod17024143,xlsImpprod17024143
14841,14370,08/13/2020,$48.00,,1.00,1.0,Free Gift with Purchase!,https://www.ulta.com/bamboo-reed-diffuser?productId=pimprod2014491,pimprod2014491
14842,14371,08/13/2020,$40.00,,4.50,14.0,Free Gift with Purchase!,https://www.ulta.com/amazing-grace-candle?productId=xlsImpprod18191017,xlsImpprod18191017
14843,14372,08/13/2020,$42.00,,0,,Free Gift with Purchase!,https://www.ulta.com/ocean-mist-sea-salt-scented-candle?productId=pimprod2014494,pimprod2014494
14844,14373,08/13/2020,$16.00,,1.00,1.0,Free Gift with Purchase!,https://www.ulta.com/ocean-mist-sea-salt-scented-votive-candle?productId=pimprod2015401,pimprod2015401
14845,14374,08/13/2020,$40.00,,0,,,https://www.ulta.com/citrus-violet-haze-gilded-faceted-jar?productId=pimprod2001502,pimprod2001502
14846,14375,08/13/2020,$16.00,,3.00,2.0,Free Gift with Purchase!,https://www.ulta.com/grapefruit-scented-votive-candle?productId=pimprod2015400,pimprod2015400
14847,14376,08/13/2020,$22.00 - $30.00,2 Sizes,3.40,14.0,,https://www.ulta.com/volcano-blue-signature-jar-candle?productId=xlsImpprod16961738,xlsImpprod16961738
