product_id,option,price,sale,available,timestamp
pimprod2007188,Quartz (icy gold),8.00,1.0,1.0,
xlsImpprod16731081,Boozy Brunch,2.99,1.0,1.0,
pimprod2004089,"Content (matte pink nude, clear shimmer)",34.00,0.0,1.0,
xlsImpprod16731055,Hickory Smoked,1.74,1.0,0.0,
pimprod2022654,CHOCOLATE ECLAIR (brown),11.00,1.0,1.0,
pimprod2022654,FIRST MAGENTA (Magenta),11.00,1.0,1.0,
pimprod2022654,UNIQUE ROSE (Rose Lancome),11.00,1.0,1.0,
pimprod2022654,VINTAGE RED (Red),11.00,1.0,1.0,
pimprod2002161,Surprise Me (bright fuchsia),8.00,1.0,1.0,
xlsImpprod4141597,Aria,3.00,1.0,1.0,
xlsImpprod4141597,Audrey,3.00,1.0,0.0,
xlsImpprod4141597,Butter,3.00,1.0,1.0,
xlsImpprod4141597,Crazed,3.00,1.0,0.0,
xlsImpprod4141597,Dark Era,3.00,1.0,1.0,
xlsImpprod4141597,Eden,3.00,1.0,1.0,
xlsImpprod4141597,Maison,3.00,1.0,1.0,
xlsImpprod4141597,Minx,3.00,1.0,1.0,
xlsImpprod4141597,Sable,3.00,1.0,1.0,
xlsImpprod4141597,Shy,3.00,1.0,1.0,
xlsImpprod4141597,Siren,3.00,1.0,1.0,
xlsImpprod4141597,Up the Bass,3.00,1.0,1.0,
xlsImpprod5120069,Mauve (Regal mauve),12.00,1.0,1.0,
xlsImpprod5120069,Coral red (a bright papaya shade),12.00,1.0,1.0,
xlsImpprod5120069,Bright Berry (a vibrant red berry),12.00,1.0,1.0,
xlsImpprod11061226,Brazen Raisin 542,10.99,1.0,1.0,
xlsImpprod11061226,Blushed Mauve 550,10.99,1.0,1.0,
xlsImpprod11061226,Always Rosy 549,10.99,1.0,1.0,
xlsImpprod11061226,Plumberry 559,10.99,1.0,1.0,
xlsImpprod11061226,Spiced Latte 577,10.99,1.0,1.0,
xlsImpprod11061226,Mauve Muse 585,10.99,1.0,1.0,
xlsImpprod11061226,Natural Blush,10.99,1.0,1.0,
xlsImpprod11061226,Sunripe Peach,10.99,1.0,1.0,
xlsImpprod11061226,Dusty Blush,10.99,1.0,1.0,
xlsImpprod11061226,Good Mauve,10.99,1.0,1.0,
pimprod2025888,Orange Blaze,8.00,0.0,1.0,
pimprod2025889,Baby Pink (bright pastel pink),7.00,0.0,1.0,
pimprod2025889,Lemon Yellow (bright yellow),7.00,0.0,1.0,
pimprod2025889,Sky Blue (bright blue),7.00,0.0,1.0,
pimprod2025889,Sweet Lilac (bright pastel purple),7.00,0.0,1.0,
pimprod2026353,,24.00,0.0,1.0,
pimprod2026352,,24.00,0.0,1.0,
pimprod2025886,,25.00,0.0,1.0,
xlsImpprod17901017,Shimmer (sheer shimmer),3.49,1.0,1.0,
pimprod2023497,Soft Brown,30.00,1.0,1.0,
