product_id,sku_id,brand,product,url,rating,no_of_reviews,sale,price,main_category,sub_category,sub_sub_category,sale_price,options,offers
pimprod2021698,2574548,Revlon,PhotoReady Rose Glow Face Mist,https://www.ulta.com/p/photoready-rose-glow-face-mist-pimprod2021698,4.00,326,0,$14.99,makeup,face,face primer,,,"Buy 1, get 1 at 50% off!"
pimprod2028555,2587884,BH Cosmetics,PRISM - Loose Powder Highlighter,https://www.ulta.com/p/prism-loose-powder-highlighter-pimprod2028555,0.0,,0,$14.00,makeup,face,highlighter,,3 Colors,
pimprod2028550,2588155,BH Cosmetics,FLORA - Powder Blush Trio Rose,https://www.ulta.com/p/flora-powder-blush-trio-rose-pimprod2028550,0.0,,0,$16.00,makeup,makeup palettes, ,,,
xlsImpprod18151009,2526709,Pacifica,Crystal Primer,https://www.ulta.com/p/crystal-primer-xlsImpprod18151009,4.40,110,0,$13.00,makeup,face,face primer,,,
pimprod2022961,2574444,I Heart Revolution,Unicorn Heart Glow Serum Primer,https://www.ulta.com/p/unicorn-heart-glow-serum-primer-pimprod2022961,4.00,4,0,$10.00,makeup,face,face primer,,,
pimprod2019632,2572435,HAN Skincare Cosmetics,Bronzer,https://www.ulta.com/p/bronzer-pimprod2019632,4.60,7,0,$16.00,makeup,face,bronzer,,2 Colors,Free Gift with Purchase!
pimprod2018326,2566291,I Heart Revolution,Tasty Peach Mattifying Priming Spray,https://www.ulta.com/p/tasty-peach-mattifying-priming-spray-pimprod2018326,3.60,7,0,$8.00,makeup,face,setting spray & powder,,,
pimprod2026066,2581773,Catrice,True Skin High Cover Concealer,https://www.ulta.com/p/true-skin-high-cover-concealer-pimprod2026066,4.70,11,0,$7.00,makeup,face,concealer,,,
pimprod2003083,2538904,e.l.f. Cosmetics,Soothing Face Primer,https://www.ulta.com/p/soothing-face-primer-pimprod2003083,3.80,67,0,$7.00,makeup,face,face primer,,,
pimprod2000387,2533537,CoverGirl,Clean Matte Concealer,https://www.ulta.com/p/clean-matte-concealer-pimprod2000387,3.90,1577,0,$9.49,makeup,face,concealer,,3 Colors,
pimprod2018664,2571621,XX Revolution,Cloud Complexxion Primer,https://www.ulta.com/p/cloud-complexxion-primer-pimprod2018664,2.80,5,0,$20.00,makeup,face,face primer,,,
pimprod2011591,2547166,Revolution PRO,Hydra Matte Fixing Spray,https://www.ulta.com/p/hydra-matte-fixing-spray-pimprod2011591,3.00,15,0,$10.00,makeup,face,setting spray & powder,,,
pimprod2004109,2545048,jane iredale,Lemongrass Love Hydration Spray,https://www.ulta.com/p/lemongrass-love-hydration-spray-pimprod2004109,4.70,78,0,$33.00,makeup,face,setting spray & powder,,,
pimprod2022166,2576076,FACE HALO,Face Halo X 2-Pack,https://www.ulta.com/p/face-halo-x-2-pack-pimprod2022166,5.00,2,0,$12.00,skin care,cleansers, ,,,
pimprod2002000,2540726,J.Cat Beauty,3D Glow Pop Holo Stick,https://www.ulta.com/p/3d-glow-pop-holo-stick-pimprod2002000,4.40,11,0,$5.99,makeup,face,highlighter,,3 Colors,
xlsImpprod17631319,2524901,FLOWER Beauty,In Your Prime Hydrating Primer,https://www.ulta.com/p/in-your-prime-hydrating-primer-xlsImpprod17631319,4.50,68,0,$10.99,makeup,face,face primer,,,
pimprod2028552,2588157,BH Cosmetics,FLORA - Powder Blush Trio Poppy,https://www.ulta.com/p/flora-powder-blush-trio-poppy-pimprod2028552,0.0,,0,$16.00,makeup,makeup palettes, ,,,
pimprod2018114,2571105,KVD Beauty,Shade + Light Powder Contour Palette Refill,https://www.ulta.com/p/shade-light-powder-contour-palette-refill-pimprod2018114,4.60,71,0,$14.00,makeup,makeup palettes, ,,,
pimprod2026961,2587201,Holika Holika,Naked Face Balancing Primer,https://www.ulta.com/p/naked-face-balancing-primer-pimprod2026961,0.0,,0,$22.00,makeup,face,face primer,,,
xlsImpprod18871043,2566864,L.A. Girl,Pro Prep HD Color Correcting Face Primer,https://www.ulta.com/p/pro-prep-hd-color-correcting-face-primer-xlsImpprod18871043,3.40,25,1,$6.99,makeup,face,face primer,$5.59,2 Colors,
xlsImpprod15481069,2506931,e.l.f. Cosmetics,Aqua Beauty Primer Mist,https://www.ulta.com/p/aqua-beauty-primer-mist-xlsImpprod15481069,3.40,207,0,$9.00,makeup,face,face primer,,,
pimprod2006378,2542376,Makeup Revolution,Hydrate Primer,https://www.ulta.com/p/hydrate-primer-pimprod2006378,4.30,14,0,$8.00,makeup,face,face primer,,,
pimprod2022381,2577378,PÜR,4-in-1 Skin-Perfecting Powders Face Palette In Dark/Deep,https://www.ulta.com/p/4-in-1-skin-perfecting-powders-face-palette-in-darkdeep-pimprod2022381,5.00,2,0,$34.00,makeup,makeup palettes, ,,,
pimprod2017917,2566387,Makeup Revolution,Infinite Loose Setting Powder,https://www.ulta.com/p/infinite-loose-setting-powder-pimprod2017917,3.00,6,0,$4.99,makeup,face,setting spray & powder,,,
pimprod2027648,2587641,MAC,Mystic Mist Fix+ Duo,https://www.ulta.com/p/mystic-mist-fix-duo-pimprod2027648,0.0,,0,$39.50,makeup,gifts & value sets, ,,,
pimprod2016092,2562970,I Heart Revolution,Pineapple Brightening Fixing Spray,https://www.ulta.com/p/pineapple-brightening-fixing-spray-pimprod2016092,3.50,6,0,$8.00,makeup,face,setting spray & powder,,,
pimprod2028510,2587059,Aveeno,Calm + Restore Makeup Remover Wipes,https://www.ulta.com/p/calm-restore-makeup-remover-wipes-pimprod2028510,5.00,1,0,$8.99,skin care,cleansers, ,,,
pimprod2006704,2550304,Ofra Cosmetics,Rays Of Light Bronzing Primer,https://www.ulta.com/p/rays-of-light-bronzing-primer-pimprod2006704,4.60,35,0,$20.00,makeup,face,face primer,,,
pimprod2002833,2543972,beautyblender,Re-Dew Set & Refresh Spray,https://www.ulta.com/p/re-dew-set-refresh-spray-pimprod2002833,3.20,13,0,$30.00,makeup,face,setting spray & powder,,,
