product_id,option,price,sale,available,timestamp,
xlsImpprod3590053,0.27 oz,14,0,1,2021-06-22 22:06:53.731607,
xlsImpprod3590053,1.0 oz,39,0,1,2021-06-22 22:06:56.056432,
xlsImpprod10791925,"Calming Fair (very fair, cool-neutral undertones)",31,0,1,2021-06-22 22:06:49.136067,
xlsImpprod10791925,"Calming Alabaster (very fair, cool-neutral undertones)",31,0,1,2021-06-22 22:06:51.914350,
xlsImpprod10791925,"Calming Ivory (very fair, cool-neutral undertones)",31,0,1,2021-06-22 22:06:53.823929,
xlsImpprod10791925,"Calming Neutral (very fair, cool-neutral undertones)",31,0,1,2021-06-22 22:06:55.251998,
xlsImpprod10791925,"Calming Honey (moderately fair, cool-neutral undertones)",31,0,1,2021-06-22 22:06:56.612057,
xlsImpprod10791925,"Calming Vanilla (moderately fair, cool-neutral undertones)",31,0,1,2021-06-22 22:06:58.002465,
xlsImpprod5770263,Transforming Porcelain Beige,35,0,1,2021-06-22 22:06:54.973742,
xlsImpprod5770263,Transforming Light Beige,35,0,1,2021-06-22 22:06:57.269385,
xlsImpprod5770263,Transforming Neutral Beige,35,0,1,2021-06-22 22:06:58.755860,
xlsImpprod12011171,NA,12,1,1,2021-06-22 22:07:07.129314,
pimprod2012834,Light/Medium,26.99,0,1,2021-06-22 22:07:05.395611,
pimprod2012834,Medium/Dark,26.99,0,1,2021-06-22 22:07:07.620518,
pimprod2022723,Orange Corrector,4.99,1,1,2021-06-22 22:06:54.195023,
pimprod2022723,Yellow Corrector,4.99,1,1,2021-06-22 22:06:55.652249,
pimprod2022723,Green Corrector,4.99,1,1,2021-06-22 22:06:57.379557,
pimprod2022723,Lavender Corrector,4.99,1,1,2021-06-22 22:06:58.836507,
pimprod2022723,Peach Corrector,4.99,1,1,2021-06-22 22:07:00.183829,
pimprod2022723,Light Yellow Corrector,4.99,1,1,2021-06-22 22:07:01.554165,
pimprod2022723,Red Corrector,4.99,1,1,2021-06-22 22:07:03.136906,
pimprod2022723,Mint Corrector,4.99,1,1,2021-06-22 22:07:04.582480,
pimprod2022723,Cool Pink Corrector,4.99,1,1,2021-06-22 22:07:06.026393,
pimprod2022723,Flate White Corrector,4.99,1,1,2021-06-22 22:07:07.398400,
pimprod2022723,Iridescent Corrector,2.49,1,1,2021-06-22 22:07:08.717913,
xlsImpprod3590051,"Apricot (conceals under eye circles, veins, sunspots)",39,0,1,2021-06-22 22:07:11.315321,
xlsImpprod14021283,NA,45,0,1,2021-06-22 22:07:14.471901,
xlsImpprod11861071,Deep,12,0,1,2021-06-22 22:07:16.654715,
xlsImpprod11861071,Light,12,0,1,2021-06-22 22:07:19.088074,
xlsImpprod11861071,Medium,12,0,1,2021-06-22 22:07:20.796200,
xlsImpprod16211179,Apricot,9.99,0,1,2021-06-22 22:07:18.300665,
xlsImpprod16211179,Green,9.99,1,0,2021-06-22 22:07:21.333541,
xlsImpprod3280313,NA,13,0,1,2021-06-22 22:07:21.541784,
pimprod2021339,Pink,8.99,1,1,2021-06-22 22:07:22.700928,
pimprod2021339,Peach,8.99,1,1,2021-06-22 22:07:24.088597,
pimprod2021339,Deep Peach,8.99,1,0,2021-06-22 22:07:25.485697,
pimprod2021808,Light to Medium,10,1,0,2021-06-22 22:07:27.710637,
pimprod2021808,Medium to Deep,10,1,1,2021-06-22 22:07:30.045258,
pimprod2024416,Light Peach,10.29,0,1,2021-06-22 22:07:28.543946,
pimprod2024416,Medium Peach,10.29,0,1,2021-06-22 22:07:31.026695,
pimprod2024416,Deep Peach,10.29,0,1,2021-06-22 22:07:32.847790,
xlsImpprod17491097,Universal Light 00,39,0,1,2021-06-22 22:07:29.963193,
xlsImpprod17491097,Rose 01,39,0,1,2021-06-22 22:07:32.007313,
xlsImpprod17491097,Green 04,39,0,1,2021-06-22 22:07:33.382112,
xlsImpprod17491097,Lavender 05,39,0,1,2021-06-22 22:07:34.994291,
pimprod2006895,Green,16.99,0,1,2021-06-22 22:07:36.329314,
pimprod2006895,Peach,16.99,0,1,2021-06-22 22:07:38.846744,
xlsImpprod15451035,NA,5.99,1,1,2021-06-22 22:07:39.557767,
xlsImpprod15711051,Fairest,4.99,1,1,2021-06-22 22:06:54.938481,
xlsImpprod15711051,Porcelain,4.99,1,1,2021-06-22 22:06:56.423716,
xlsImpprod15711051,Light Ivory,4.99,1,1,2021-06-22 22:06:57.766665,
xlsImpprod15711051,Natural,4.99,1,1,2021-06-22 22:06:59.384052,
xlsImpprod15711051,Creamy Beige,4.99,1,1,2021-06-22 22:07:00.744215,
xlsImpprod15711051,Vanilla,4.99,1,1,2021-06-22 22:07:02.205801,
xlsImpprod15711051,Buff,4.99,1,1,2021-06-22 22:07:03.737010,
xlsImpprod15711051,Nude,4.99,1,1,2021-06-22 22:07:05.204133,
xlsImpprod15711051,Bisque,4.99,1,1,2021-06-22 22:07:06.602901,
xlsImpprod15711051,Pure Beige,4.99,1,1,2021-06-22 22:07:08.198573,
xlsImpprod15711051,Medium Beige,4.99,1,1,2021-06-22 22:07:09.585109,
xlsImpprod15711051,Light Tan,4.99,1,1,2021-06-22 22:07:10.989606,
xlsImpprod15711051,Almond,4.99,1,1,2021-06-22 22:07:12.779107,
xlsImpprod15711051,Cool Tan,4.99,1,1,2021-06-22 22:07:14.254676,
xlsImpprod15711051,Warm Honey,4.99,1,1,2021-06-22 22:07:15.738736,
xlsImpprod15711051,Fawn,4.99,1,1,2021-06-22 22:07:17.141673,
xlsImpprod15711051,Toffee,4.99,1,1,2021-06-22 22:07:18.569860,
xlsImpprod15711051,Beautiful Bronze,4.99,1,1,2021-06-22 22:07:20.247581,
xlsImpprod15711051,Medium Bisque,4.99,1,1,2021-06-22 22:07:21.677794,
xlsImpprod15711051,Warm Sand,4.99,1,1,2021-06-22 22:07:23.023840,
xlsImpprod15711051,Chestnut,4.99,1,1,2021-06-22 22:07:24.369082,
xlsImpprod15711051,Toast,4.99,1,1,2021-06-22 22:07:26.015339,
xlsImpprod15711051,Espresso,4.99,1,1,2021-06-22 22:07:27.604427,
xlsImpprod15711051,Highlighter,4.99,1,1,2021-06-22 22:07:29.021901,
xlsImpprod15711051,Classic Ivory,4.99,1,1,2021-06-22 22:07:30.418808,
xlsImpprod15711051,Cool Nude,4.99,1,1,2021-06-22 22:07:31.770495,
xlsImpprod15711051,Tawny,4.99,1,1,2021-06-22 22:07:33.182249,
xlsImpprod15711051,Dark Cocoa,4.99,1,1,2021-06-22 22:07:34.915084,
xlsImpprod15711051,Mahogany,4.99,1,1,2021-06-22 22:07:36.470124,
xlsImpprod15711051,Suede,4.99,1,1,2021-06-22 22:07:37.906699,
xlsImpprod15711051,Truffle,4.99,1,1,2021-06-22 22:07:39.631688,
pimprod2022032,Cool (red),14,0,1,2021-06-22 22:07:37.627781,
pimprod2022032,Dark (black),14,0,1,2021-06-22 22:07:39.293975,
pimprod2022032,Light (white),14,0,1,2021-06-22 22:07:40.614444,
pimprod2022032,Warm (yellow),14,0,1,2021-06-22 22:07:41.928706,
xlsImpprod16241034,NA,10.99,1,1,2021-06-22 22:07:45.408052,
pimprod2020359,NA,16,0,1,2021-06-22 22:07:46.279428,
pimprod2007469,Pure White,29,0,0,2021-06-22 22:07:46.687684,
pimprod2007469,Red,29,0,1,2021-06-22 22:07:48.026437,
xlsImpprod10791855,Light,39.5,0,1,2021-06-22 22:07:56.400437,
xlsImpprod10791855,Light Medium,39.5,0,1,2021-06-22 22:07:58.353153,
xlsImpprod10791855,Medium,39.5,0,1,2021-06-22 22:07:59.729142,
xlsImpprod10791855,Medium Deep,39.5,0,1,2021-06-22 22:08:01.515204,
xlsImpprod4980083,Fair,37,1,0,2021-06-22 22:07:53.504982,
xlsImpprod4980083,Light,37,1,1,2021-06-22 22:07:55.780634,
xlsImpprod4980083,Medium,37,1,1,2021-06-22 22:07:57.200524,
xlsImpprod4980083,Medium Tan,37,1,0,2021-06-22 22:07:58.604361,
xlsImpprod4980083,Tan,37,1,1,2021-06-22 22:07:59.957828,
xlsImpprod4980083,Tan Deep,37,1,1,2021-06-22 22:08:01.554389,
xlsImpprod4980083,Deep,37,1,1,2021-06-22 22:08:03.133284,
xlsImpprod4980083,Rich,37,1,1,2021-06-22 22:08:04.649952,
xlsImpprod5770257,Fair (very fair skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:07:53.083437,
xlsImpprod5770257,Fair Light (fair skin w/ cool pink undertone),39.5,1,1,2021-06-22 22:07:54.534809,
xlsImpprod5770257,Light (light skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:07:56.051655,
xlsImpprod5770257,Light Medium (light to medium skin w/ cool pink undertone),39.5,1,1,2021-06-22 22:07:57.692875,
xlsImpprod5770257,Medium (medium skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:07:59.450071,
xlsImpprod5770257,Neutral Medium (medium skin w/ clean neutral undertone),39.5,1,1,2021-06-22 22:08:00.832512,
xlsImpprod5770257,Medium Tan (medium to tan skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:02.228130,
xlsImpprod5770257,Neutral Tan (tan skin w/ clean neutral undertone),39.5,1,1,2021-06-22 22:08:03.570770,
xlsImpprod5770257,Tan (tan skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:05.061683,
xlsImpprod5770257,Rich (tan to deep skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:06.540053,
xlsImpprod5770257,Rich Honey (deep skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:07.895267,
xlsImpprod5770257,Deep (deep skin w/ neutral undertone),39.5,1,1,2021-06-22 22:08:09.731650,
xlsImpprod12251079,Fair (very fair skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:07:56.464474,
xlsImpprod12251079,Fair Light (ivory pink),39.5,1,1,2021-06-22 22:07:57.884632,
xlsImpprod12251079,Light (light skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:07:59.537680,
xlsImpprod12251079,Light Medium (pink beige),39.5,1,1,2021-06-22 22:08:01.231484,
xlsImpprod12251079,Medium (medium skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:02.553838,
xlsImpprod12251079,Neutral Medium (natural beige),39.5,1,1,2021-06-22 22:08:03.918720,
xlsImpprod12251079,Medium Tan (medium to tan skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:05.303793,
xlsImpprod12251079,Neutral Tan (golden beige),39.5,1,0,2021-06-22 22:08:06.678857,
xlsImpprod12251079,Tan (tan skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:08.082830,
xlsImpprod12251079,Rich (tan to deep skin w/ warm yellow undertone),39.5,1,1,2021-06-22 22:08:09.851237,
xlsImpprod12251079,Rich Honey (caramel brown),39.5,1,1,2021-06-22 22:08:11.232101,
xlsImpprod12251079,Deep (deep skin w/ neutral undertone),39.5,1,1,2021-06-22 22:08:12.572353,
pimprod2020783,Fair 120 N,14,1,1,2021-06-22 22:07:55.387014,
pimprod2020783,Fair 140 W,14,1,1,2021-06-22 22:07:57.533228,
